,precision,recall,f1-score,support
блтбаа╟в╣в,1.0,0.9444444444444444,0.9714285714285714,18.0
╟в╥╫пн╨з╣в,1.0,1.0,1.0,14.0
ю╤к╚╩╥бл╣в,1.0,1.0,1.0,28.0
╨зк╚╩╥╟в╣в,1.0,1.0,1.0,17.0
╨ЛнЕ╫гпг╨з╣в,1.0,1.0,1.0,20.0
блхЩ╫г╟в╣в,1.0,1.0,1.0,20.0
ю╤тбаа╨з╣в,1.0,1.0,1.0,26.0
ю╤S╨з╣в,1.0,1.0,1.0,11.0
ю╤Sбл╣в,0.9230769230769231,1.0,0.9600000000000001,12.0
блтбаа╨Л╣в,1.0,1.0,1.0,13.0
╨Лк╚╩╥ю╤╣в,1.0,1.0,1.0,20.0
╟вS╨Л╣в,0.875,0.875,0.875,8.0
ю╤нЕ╫гпгбл╣в,1.0,1.0,1.0,27.0
блнЕ╫гпг╨Л╣в,1.0,1.0,1.0,16.0
╨Лт╡пню╤╣в,1.0,1.0,1.0,33.0
╨ЛY╨з╣в,1.0,1.0,1.0,9.0
╨Лтбааю╤╣в,1.0,1.0,1.0,18.0
╟внчоъ╨Л╣в,1.0,0.9,0.9473684210526316,10.0
╨з╥╫пн╨Л╣в,1.0,1.0,1.0,21.0
╟втбаа╨з╣в,1.0,1.0,1.0,16.0
блнЕ╫гпг╟в╣в,1.0,1.0,1.0,20.0
ю╤т╡пнбл╣в,1.0,1.0,1.0,10.0
блк╚╩╥ю╤╣в,1.0,1.0,1.0,22.0
ю╤т╡пн╨з╣в,1.0,1.0,1.0,18.0
╟вк╚╩╥ю╤╣в,1.0,1.0,1.0,21.0
╨ЛYбл╣в,1.0,1.0,1.0,11.0
╨знЕ╫гпг╨Л╣в,1.0,1.0,1.0,20.0
блY╟в╣в,0.9,0.9473684210526315,0.9230769230769231,19.0
╨зK╨Л╣в,1.0,1.0,1.0,18.0
╨Л1бл╣в,1.0,1.0,1.0,9.0
╨ЛX╟в╣в,1.0,1.0,1.0,10.0
╟вхЩ╫гю╤╣в,1.0,1.0,1.0,16.0
бл1ю╤╣в,0.9166666666666666,1.0,0.9565217391304348,11.0
╨знчоъю╤╣в,1.0,0.8888888888888888,0.9411764705882353,9.0
╨Лнчоъ╟в╣в,1.0,1.0,1.0,29.0
╟втбаабл╣в,1.0,1.0,1.0,8.0
╨зт╡пн╟в╣в,1.0,0.9166666666666666,0.9565217391304348,12.0
ю╤╥╫пн╨з╣в,1.0,1.0,1.0,19.0
ю╤Xбл╣в,1.0,1.0,1.0,16.0
╨ЛхЩ╫гю╤╣в,1.0,1.0,1.0,20.0
╟вхЩ╫г╨Л╣в,1.0,1.0,1.0,13.0
╟вYю╤╣в,1.0,0.9444444444444444,0.9714285714285714,18.0
ю╤нЕ╫гпг╟в╣в,1.0,0.9545454545454546,0.9767441860465117,22.0
ю╤тбаабл╣в,1.0,1.0,1.0,9.0
╨зт╡пню╤╣в,1.0,1.0,1.0,29.0
╟вKбл╣в,1.0,1.0,1.0,19.0
блS╟в╣в,1.0,1.0,1.0,19.0
ю╤т╡пн╟в╣в,1.0,1.0,1.0,27.0
╨ЛS╨з╣в,1.0,1.0,1.0,20.0
╨Л1╨з╣в,1.0,1.0,1.0,13.0
╟вS╨з╣в,1.0,1.0,1.0,7.0
╟внчоъбл╣в,1.0,1.0,1.0,8.0
╟внЕ╫гпгбл╣в,1.0,1.0,1.0,23.0
╨Л╥╫пн╨з╣в,1.0,1.0,1.0,10.0
╨знЕ╫гпг╟в╣в,1.0,1.0,1.0,20.0
╟втбаа╨Л╣в,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
╟в1╨з╣в,1.0,1.0,1.0,17.0
ю╤хЩ╫г╟в╣в,0.9,1.0,0.9473684210526316,18.0
╨Лт╡пн╨з╣в,0.9583333333333334,1.0,0.9787234042553191,23.0
╨знчоъ╨Л╣в,1.0,1.0,1.0,19.0
╟вт╡пню╤╣в,1.0,1.0,1.0,10.0
╟вSю╤╣в,1.0,1.0,1.0,10.0
╨зхЩ╫г╟в╣в,1.0,1.0,1.0,14.0
╨зтбааю╤╣в,1.0,1.0,1.0,8.0
╟внчоъю╤╣в,1.0,1.0,1.0,17.0
╟вт╡пн╨Л╣в,1.0,1.0,1.0,12.0
╨зт╡пн╨Л╣в,1.0,1.0,1.0,10.0
╟внЕ╫гпгю╤╣в,1.0,1.0,1.0,20.0
ю╤нчоъбл╣в,1.0,1.0,1.0,10.0
